,pattern,rating,events,actions,conds,pattern_str
1216,"-0.15519889,0.0,0.0,0.0,0.0,0.0,-2.3391485,-0.6098899,-1.7677557,-0.76815253,0.091887355,-1.0052798,-0.92115504,0.0833883,-1.2391908,0.45876485,-1.6894598,-0.8151432,0.31750786,-0.3290061,2.1033652,2.1310868,1.5694797,-2.0152988,-0.70110875,-2.763046,0.51850706,0.13420999,0.091887355,-1.7677557,-2.3391485,-1.8567753,-1.6198473,0.0833883,-1.7378678,1.0218086,0.0,-1.4229801,0.39958245,-1.1447839,-0.31556582,1.2697083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.0185470585109213,"[64, 10, 73, 47, 38, 10]","['=', 'not <', '<', '>', 'v-> ', 'not <', 'vnot *= ', 'not =', 'vnot = ', 'nop', 'vnot -> ', 'not =', 'nop', 'nop', 'not =', '=', 'nop', 'v+> ', '>', 'not <', 'not =', 'nop', 'not <', 'nop', 'vnot > ', 'v*= ', 'v*= ', '<', '=', '=']","['and', 'and', 'and', 'and', 'or', 'and', 'or', 'and', 'or', 'or', 'and', 'and', 'and', 'and', 'or', 'and', 'and', 'or', 'and', 'and', 'and', 'or', 'and', 'or', 'or', 'or', 'and', 'or', 'or', 'or']",a.y not < d.y and a.z < f.z and a.vx > d.vx and a.vy ->  e.vy + 12456 AND b.y = c.y * 32333 or b.z not = a.z and b.vx not =  4562 AND c.y not = d.y and c.vy not = a.vy AND d.x = a.x AND e.x not = b.x and e.z not < b.z and e.vy not >  289
1217,"-0.15519889,0.0,0.0,0.0,0.0,0.0,-2.3391485,-0.6098899,-1.7677557,-0.76815253,0.091887355,-1.0052798,-0.92115504,0.0833883,-1.2391908,0.45876485,-1.6894598,-0.8151432,0.31750786,-0.3290061,2.1033652,2.1310868,1.5694797,-2.0152988,-0.70110875,-2.763046,0.51850706,0.13420999,0.091887355,-1.7677557,-2.3391485,-1.8567753,-1.6198473,0.0833883,-1.7378678,1.0218086,-0.780799,-1.4229801,0.39958245,-1.1447839,-0.31556582,1.2697083,0.0,0.98656845,-2.0152988,-2.0731864,0.0833883,0.21435185,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.501302014136154,"[64, 10, 73, 47, 38, 10, 8]","['=', 'not <', '<', '>', 'v-> ', 'not <', 'vnot *= ', 'not =', 'vnot = ', 'nop', 'vnot -> ', 'not =', 'nop', 'nop', 'not =', '=', 'nop', 'v+> ', '>', 'not <', 'not =', 'nop', 'not <', 'nop', 'vnot > ', 'v*= ', 'v*= ', '<', '=', '=', 'nop', 'not =', '>', 'not <', 'not =']","['and', 'and', 'and', 'and', 'or', 'and', 'or', 'and', 'or', 'or', 'and', 'and', 'and', 'and', 'or', 'and', 'and', 'or', 'and', 'and', 'and', 'or', 'and', 'or', 'or', 'or', 'and', 'or', 'or', 'or', 'and', 'or', 'or', 'and', 'and']",a.x = g.x and a.y not < d.y and a.z < f.z and a.vx > d.vx and a.vy ->  e.vy + 12456 AND b.y = c.y * 32333 or b.z not = a.z and b.vx not =  4562 AND c.y not = d.y and c.vy not = a.vy AND d.x = a.x AND e.x not = b.x and e.z not < b.z and e.vy not >  289 AND f.x not = g.x + 95524 or f.z < d.z or f.vx = a.vx
1218,"-0.15519889,0.0,0.0,0.0,0.0,0.0,-2.3391485,-0.6098899,-1.7677557,-0.76815253,0.091887355,-1.0052798,-0.92115504,0.0833883,-1.2391908,0.45876485,-1.6894598,-0.8151432,0.31750786,-0.3290061,2.1033652,2.1310868,1.5694797,-2.0152988,-0.70110875,-2.763046,0.51850706,0.13420999,0.091887355,-1.7677557,-2.3391485,-1.8567753,-1.6198473,0.0833883,-1.7378678,1.0218086,-0.780799,-1.4229801,0.39958245,-1.1447839,-0.31556582,1.2697083,-1.694771,0.98656845,-2.0152988,-2.0731864,0.0833883,0.21435185,0.0,2.2114713,-0.6300282,1.4124072,-0.3181476,0.82735944,0.0",0.6682786841685708,"[64, 10, 73, 47, 38, 10, 8, 105]","['=', 'not <', '<', '>', 'v-> ', 'not <', 'vnot *= ', 'not =', 'vnot = ', 'nop', 'vnot -> ', 'not =', 'nop', 'nop', 'not =', '=', 'nop', 'v+> ', '>', 'not <', 'not =', 'nop', 'not <', 'nop', 'vnot > ', 'v*= ', 'v*= ', '<', '=', '=', 'nop', 'not =', '>', 'not <', 'not =', 'not =', 'nop', 'nop', '=', 'not =']","['and', 'and', 'and', 'and', 'or', 'and', 'or', 'and', 'or', 'or', 'and', 'and', 'and', 'and', 'or', 'and', 'and', 'or', 'and', 'and', 'and', 'or', 'and', 'or', 'or', 'or', 'and', 'or', 'or', 'or', 'and', 'or', 'or', 'and', 'and', 'and', 'or', 'or', 'or', 'or']",a.x = g.x and a.y not < d.y and a.z < f.z and a.vx > d.vx and a.vy ->  e.vy + 12456 AND b.y = c.y * 32333 or b.z not = a.z and b.vx not =  4562 AND c.x not ->  h.x + 8175 and c.y not = d.y and c.vy not = a.vy AND d.x = a.x AND e.x not = b.x and e.z not < b.z and e.vy not >  289 AND f.x not = g.x + 95524 or f.z < d.z or f.vx = a.vx AND g.y not = a.y or g.z > a.z or g.vx not < b.vx and g.vy not = h.vy
1219,"-1.5209842,0.0,0.0,0.0,0.0,0.0,0.0,1.1733134,-1.450282,-0.40974277,-0.20123313,-0.42530423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2.407781005458149,[74],"['not >', 'nop', 'vnot *= ', 'v+> ', '<']","['or', 'or', 'and', 'and', 'and']",
1220,"-1.5209842,0.0,0.0,0.0,0.0,0.0,-1.4075407,1.1733134,-1.450282,-0.40974277,-0.20123313,-0.42530423,0.0,1.1058197,1.0255796,0.58025134,-0.8138284,0.28232518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.9804432162406336,"[74, 4]","['not >', 'nop', 'vnot *= ', 'v+> ', '<', 'nop', 'vnot +> ', 'v*= ', 'vnot < ', 'vnot +> ']","['or', 'or', 'and', 'and', 'and', 'or', 'and', 'or', 'and', 'or']",b.vx not <  14562
1221,"-1.5209842,0.0,0.0,0.0,0.0,0.0,-1.4075407,1.1733134,-1.450282,-0.40974277,-0.20123313,-0.42530423,-1.4075407,1.1058197,1.0255796,0.58025134,-0.8138284,0.28232518,0.0,0.45158234,0.19967873,-1.0148509,1.6944814,0.39958245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",6.590848700643035,"[74, 4, 4]","['not >', 'nop', 'vnot *= ', 'v+> ', '<', 'nop', 'vnot +> ', 'v*= ', 'vnot < ', 'vnot +> ', 'vnot -> ', 'nop', 'nop', 'nop', 'v*= ']","['or', 'or', 'and', 'and', 'and', 'or', 'and', 'or', 'and', 'or', 'or', 'or', 'or', 'or', 'and']",b.vx not <  14562
1222,"-1.5209842,0.0,0.0,0.0,0.0,0.0,-1.4075407,1.1733134,-1.450282,-0.40974277,-0.20123313,-0.42530423,-1.4075407,1.1058197,1.0255796,0.58025134,-0.8138284,0.28232518,-0.41344798,0.45158234,0.19967873,-1.0148509,1.6944814,0.39958245,0.0,-0.42135644,0.60487866,1.0255796,-2.3177514,1.4124072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",7.028750597863634,"[74, 4, 4, 68]","['not >', 'nop', 'vnot *= ', 'v+> ', '<', 'nop', 'vnot +> ', 'v*= ', 'vnot < ', 'vnot +> ', 'vnot -> ', 'nop', 'nop', 'nop', 'v*= ', 'v+> ', 'nop', 'vnot +> ', 'v< ', 'not <']","['or', 'or', 'and', 'and', 'and', 'or', 'and', 'or', 'and', 'or', 'or', 'or', 'or', 'or', 'and', 'or', 'and', 'and', 'and', 'or']",a.z = d.z * 3528 AND b.vx not <  14562 AND c.x not ->  a.x + 73988 AND d.vx <  7894
1223,"-1.5209842,0.0,0.0,0.0,0.0,0.0,-1.4075407,1.1733134,-1.450282,-0.40974277,-0.20123313,-0.42530423,-1.4075407,1.1058197,1.0255796,0.58025134,-0.8138284,0.28232518,-0.41344798,0.45158234,0.19967873,-1.0148509,1.6944814,0.39958245,0.37194225,-0.42135644,0.60487866,1.0255796,-2.3177514,1.4124072,-2.3391485,-0.59265476,1.1759754,-0.9497568,-0.3181476,-1.1477805,-1.5209842,1.1558291,1.1788217,-1.9667813,-0.44591156,-1.9899977,-1.4075407,-1.0727589,-0.6300282,-0.3290061,-0.3290061,-1.2540183,0.0,0.5912353,1.1575181,0.50430065,-1.1477805,-0.41034296,0.0",10.0,"[74, 4, 4, 68, 52, 10, 74, 4]","['not >', 'nop', 'vnot *= ', 'v+> ', '<', 'nop', 'vnot +> ', 'v*= ', 'vnot < ', 'vnot +> ', 'vnot -> ', 'nop', 'nop', 'nop', 'v*= ', 'v+> ', 'nop', 'vnot +> ', 'v< ', 'not <', 'nop', 'vnot < ', 'vnot *= ', '=', '>', 'nop', 'vnot *= ', 'vnot -> ', '<', 'v-> ', 'vnot *= ', 'nop', 'vnot -> ', 'nop', '=', 'v-> ', '=', 'v*= ', '>', 'vnot +> ']","['or', 'or', 'and', 'and', 'and', 'or', 'and', 'or', 'and', 'or', 'or', 'or', 'or', 'or', 'and', 'or', 'and', 'and', 'and', 'or', 'or', 'or', 'or', 'or', 'and', 'or', 'and', 'or', 'or', 'or', 'or', 'or', 'and', 'and', 'or', 'or', 'or', 'and', 'and', 'and']",a.z = d.z * 3528 and a.vx +>  g.vx + 16271 AND b.y not +>  e.y + 97350 and b.z not = f.z + 1975 or b.vx not <  14562 and b.vy not +>  h.vy + 13192 AND c.x not ->  a.x + 73988 or c.vy not = f.vy + 9566 AND d.x +>  h.x + 29297 or d.z not +>  e.z + 7299 and d.vx <  7894 AND e.y not <  3038 or e.z = f.z * 5870 or e.vx = b.vx or e.vy > b.vy AND f.y = g.y * 52087 and f.z not ->  c.z + 2034 or f.vx < g.vx or f.vy ->  d.vy + 3290 AND g.x = e.x * 66551 or g.z not ->  h.z + 7644
1224,"-0.43920648,0.0,0.0,0.0,0.0,0.0,0.0,0.70324695,0.30204406,-1.6894598,-0.21877058,2.4387634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.8656126254576797,[67],"['not =', '=', 'vnot = ', 'v-> ', 'vnot -> ']","['or', 'or', 'or', 'and', 'or']",a.z not =  12023
1225,"-0.43920648,0.0,0.0,0.0,0.0,0.0,0.5380435,0.70324695,0.30204406,-1.6894598,-0.21877058,2.4387634,0.0,-2.0152988,1.35795,0.51156425,1.0218086,-0.2224124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",5.630015411595898,"[67, 63]","['not =', '=', 'vnot = ', 'v-> ', 'vnot -> ', 'not =', '>', 'nop', 'vnot > ', 'v> ']","['or', 'or', 'or', 'and', 'or', 'or', 'and', 'or', 'or', 'and']",a.z not =  12023 or a.vx ->  b.vx + 9303 AND b.vx not >  1421 or b.vy >  10846
1226,"-0.43920648,0.0,0.0,0.0,0.0,0.0,0.5380435,0.70324695,0.30204406,-1.6894598,-0.21877058,2.4387634,0.35382015,-2.0152988,1.35795,0.51156425,1.0218086,-0.2224124,0.0,-1.4916052,-0.48989916,-1.2391908,-1.2540183,2.4671645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",6.229473348567785,"[67, 63, 97]","['not =', '=', 'vnot = ', 'v-> ', 'vnot -> ', 'not =', '>', 'nop', 'vnot > ', 'v> ', 'nop', 'nop', 'vnot *= ', '=', 'v-> ']","['or', 'or', 'or', 'and', 'or', 'or', 'and', 'or', 'or', 'and', 'and', 'and', 'or', 'or', 'and']",a.z not =  12023 or a.vx ->  b.vx + 9303 AND b.x not = a.x or b.vx not >  1421 or b.vy >  10846
1227,"-0.43920648,0.0,0.0,0.0,0.0,0.0,0.5380435,0.70324695,0.30204406,-1.6894598,-0.21877058,2.4387634,0.35382015,-2.0152988,1.35795,0.51156425,1.0218086,-0.2224124,1.7012192,-1.4916052,-0.48989916,-1.2391908,-1.2540183,2.4671645,0.6700193,-0.13963275,0.23147236,2.2114713,0.114915974,-0.21877058,-2.3391485,-1.8567753,0.82735944,0.7593136,0.50430065,-0.3707649,-0.6923965,0.29865095,-2.763046,0.42730334,1.9016601,-1.7378678,0.0,1.0679044,1.1558291,1.1733134,0.54360217,0.93547255,0.0,0.0,0.0,0.0,0.0,0.0,0.0",5.550793735148308,"[67, 63, 97, 49, 59, 10, 14]","['not =', '=', 'vnot = ', 'v-> ', 'vnot -> ', 'not =', '>', 'nop', 'vnot > ', 'v> ', 'nop', 'nop', 'vnot *= ', '=', 'v-> ', 'vnot *= ', 'v-> ', 'nop', 'not <', 'nop', 'not =', 'not =', 'v*= ', 'nop', 'nop', 'not >', '=', 'not >', 'nop', 'v+> ', 'nop', 'v> ', 'nop', 'nop', 'vnot +> ']","['or', 'or', 'or', 'and', 'or', 'or', 'and', 'or', 'or', 'and', 'and', 'and', 'or', 'or', 'and', 'and', 'and', 'and', 'or', 'and', 'and', 'or', 'and', 'and', 'and', 'or', 'and', 'or', 'or', 'or', 'and', 'or', 'or', 'or', 'and']",a.x not = e.x or a.z not =  12023 or a.vx ->  b.vx + 9303 and a.vy not ->  f.vy + 13535 AND b.x not = a.x or b.y > e.y and b.vx not >  1421 or b.vy >  10846 AND c.vx = g.vx AND d.x = a.x * 24507 and d.y ->  a.y + 10028 AND e.x not = b.x and e.y not = c.y or e.z not = a.z + 5420 AND f.x not > b.x or f.y = a.y and f.z not > e.z or f.vy +>  c.vy + 7714 AND g.y >  79888
1228,"-0.43920648,0.0,0.0,0.0,0.0,0.0,0.5380435,0.70324695,0.30204406,-1.6894598,-0.21877058,2.4387634,0.35382015,-2.0152988,1.35795,0.51156425,1.0218086,-0.2224124,1.7012192,-1.4916052,-0.48989916,-1.2391908,-1.2540183,2.4671645,0.6700193,-0.13963275,0.23147236,2.2114713,0.114915974,-0.21877058,-2.3391485,-1.8567753,0.82735944,0.7593136,0.50430065,-0.3707649,-0.6923965,0.29865095,-2.763046,0.42730334,1.9016601,-1.7378678,0.25524566,1.0679044,1.1558291,1.1733134,0.54360217,0.93547255,0.0,-2.3177514,-0.21877058,1.016661,0.75059354,1.029282,0.0",4.0143221554976884,"[67, 63, 97, 49, 59, 10, 14, 69]","['not =', '=', 'vnot = ', 'v-> ', 'vnot -> ', 'not =', '>', 'nop', 'vnot > ', 'v> ', 'nop', 'nop', 'vnot *= ', '=', 'v-> ', 'vnot *= ', 'v-> ', 'nop', 'not <', 'nop', 'not =', 'not =', 'v*= ', 'nop', 'nop', 'not >', '=', 'not >', 'nop', 'v+> ', 'nop', 'v> ', 'nop', 'nop', 'vnot +> ', 'v< ', 'nop', 'v+> ', 'not =', 'nop']","['or', 'or', 'or', 'and', 'or', 'or', 'and', 'or', 'or', 'and', 'and', 'and', 'or', 'or', 'and', 'and', 'and', 'and', 'or', 'and', 'and', 'or', 'and', 'and', 'and', 'or', 'and', 'or', 'or', 'or', 'and', 'or', 'or', 'or', 'and', 'and', 'and', 'and', 'and', 'or']",a.x not = e.x or a.y = h.y or a.z not =  12023 or a.vx ->  b.vx + 9303 and a.vy not ->  f.vy + 13535 AND b.x not = a.x or b.y > e.y and b.vx not >  1421 or b.vy >  10846 AND c.vx = g.vx AND d.x = a.x * 24507 and d.y ->  a.y + 10028 and d.vx not < h.vx AND e.x not = b.x and e.y not = c.y or e.z not = a.z + 5420 AND f.x not > b.x or f.y = a.y and f.z not > e.z or f.vy +>  c.vy + 7714 AND g.y >  79888 or g.vy not +>  f.vy + 9871 AND h.x <  19762
1229,"0.25539982,0.0,0.0,0.0,0.0,0.0,1.3646951,-1.610698,-0.44666642,1.1867297,0.0833883,-0.2224124,0.0,0.39958245,1.5656414,-0.80704266,0.26178116,-0.9497568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4.5331349311792515,"[65, 23]","['vnot +> ', 'nop', 'vnot -> ', 'not <', 'v> ', 'v*= ', 'vnot *= ', 'vnot +> ', '<', 'nop']","['or', 'and', 'or', 'and', 'and', 'and', 'and', 'or', 'or', 'or']",a.z not ->  b.z + 8260 or a.vx not < b.vx and a.vy >  15079
1230,"0.25539982,0.0,0.0,0.0,0.0,0.0,1.3646951,-1.610698,-0.44666642,1.1867297,0.0833883,-0.2224124,-0.43920648,0.39958245,1.5656414,-0.80704266,0.26178116,-0.9497568,0.0,0.5912353,-0.31556582,-2.3177514,-0.44666642,1.0255796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",5.23462826167827,"[65, 23, 67]","['vnot +> ', 'nop', 'vnot -> ', 'not <', 'v> ', 'v*= ', 'vnot *= ', 'vnot +> ', '<', 'nop', 'v-> ', 'nop', 'nop', '>', 'vnot +> ']","['or', 'and', 'or', 'and', 'and', 'and', 'and', 'or', 'or', 'or', 'or', 'or', 'and', 'and', 'and']",a.z not ->  b.z + 8260 or a.vx not < b.vx and a.vy >  15079
1231,"0.25539982,0.0,0.0,0.0,0.0,0.0,1.3646951,-1.610698,-0.44666642,1.1867297,0.0833883,-0.2224124,-0.43920648,0.39958245,1.5656414,-0.80704266,0.26178116,-0.9497568,-0.780799,0.5912353,-0.31556582,-2.3177514,-0.44666642,1.0255796,0.0,1.4124072,2.1033652,0.19967873,1.029282,1.2142981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",6.529202317053728,"[65, 23, 67, 8]","['vnot +> ', 'nop', 'vnot -> ', 'not <', 'v> ', 'v*= ', 'vnot *= ', 'vnot +> ', '<', 'nop', 'v-> ', 'nop', 'nop', '>', 'vnot +> ', 'not <', 'nop', 'v*= ', 'not =', 'vnot +> ']","['or', 'and', 'or', 'and', 'and', 'and', 'and', 'or', 'or', 'or', 'or', 'or', 'and', 'and', 'and', 'or', 'and', 'or', 'or', 'or']",a.z not ->  b.z + 8260 or a.vx not < b.vx and a.vy >  15079 AND b.z not +>  d.z + 10718
1232,"0.25539982,0.0,0.0,0.0,0.0,0.0,1.3646951,-1.610698,-0.44666642,1.1867297,0.0833883,-0.2224124,-0.43920648,0.39958245,1.5656414,-0.80704266,0.26178116,-0.9497568,-0.780799,0.5912353,-0.31556582,-2.3177514,-0.44666642,1.0255796,1.7012192,1.4124072,2.1033652,0.19967873,1.029282,1.2142981,0.0,-0.3181476,1.0486068,0.21373716,-1.450282,-1.2391908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",6.395918584258915,"[65, 23, 67, 8, 49]","['vnot +> ', 'nop', 'vnot -> ', 'not <', 'v> ', 'v*= ', 'vnot *= ', 'vnot +> ', '<', 'nop', 'v-> ', 'nop', 'nop', '>', 'vnot +> ', 'not <', 'nop', 'v*= ', 'not =', 'vnot +> ', '=', 'not >', '=', '<', 'vnot *= ']","['or', 'and', 'or', 'and', 'and', 'and', 'and', 'or', 'or', 'or', 'or', 'or', 'and', 'and', 'and', 'or', 'and', 'or', 'or', 'or', 'or', 'and', 'and', 'or', 'or']",a.z not ->  b.z + 8260 or a.vx not < b.vx and a.vy >  15079 AND b.z not +>  d.z + 10718 AND c.vy not +>  e.vy + 14206 AND d.z not = c.z + 69
1233,"0.25539982,0.0,0.0,0.0,0.0,0.0,1.3646951,-1.610698,-0.44666642,1.1867297,0.0833883,-0.2224124,-0.43920648,0.39958245,1.5656414,-0.80704266,0.26178116,-0.9497568,-0.780799,0.5912353,-0.31556582,-2.3177514,-0.44666642,1.0255796,1.7012192,1.4124072,2.1033652,0.19967873,1.029282,1.2142981,-2.4377851,-0.3181476,1.0486068,0.21373716,-1.450282,-1.2391908,0.0,0.51156425,-2.0041046,-1.3414798,0.28357446,-1.9899977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",6.649837912525906,"[65, 23, 67, 8, 49, 61]","['vnot +> ', 'nop', 'vnot -> ', 'not <', 'v> ', 'v*= ', 'vnot *= ', 'vnot +> ', '<', 'nop', 'v-> ', 'nop', 'nop', '>', 'vnot +> ', 'not <', 'nop', 'v*= ', 'not =', 'vnot +> ', '=', 'not >', '=', '<', 'vnot *= ', 'v+> ', 'v+> ', '=', 'not >', 'v-> ']","['or', 'and', 'or', 'and', 'and', 'and', 'and', 'or', 'or', 'or', 'or', 'or', 'and', 'and', 'and', 'or', 'and', 'or', 'or', 'or', 'or', 'and', 'and', 'or', 'or', 'or', 'or', 'and', 'and', 'or']",a.z not ->  b.z + 8260 or a.vx not < b.vx and a.vy >  15079 AND b.x not = f.x + 22905 and b.z not +>  d.z + 10718 or b.vx < f.vx AND c.x ->  f.x + 2814 or c.vx > f.vx and c.vy not +>  e.vy + 14206 AND d.z not = c.z + 69 or d.vx not = f.vx or d.vy not +>  f.vy + 15510 AND e.x = b.x or e.z = d.z and e.vx < c.vx or e.vy = c.vy * 9599
1234,"0.25539982,0.0,0.0,0.0,0.0,0.0,1.3646951,-1.610698,-0.44666642,1.1867297,0.0833883,-0.2224124,-0.43920648,0.39958245,1.5656414,-0.80704266,0.26178116,-0.9497568,-0.780799,0.5912353,-0.31556582,-2.3177514,-0.44666642,1.0255796,1.7012192,1.4124072,2.1033652,0.19967873,1.029282,1.2142981,-2.4377851,-0.3181476,1.0486068,0.21373716,-1.450282,-1.2391908,-1.5209842,0.51156425,-2.0041046,-1.3414798,0.28357446,-1.9899977,0.0,-1.5163788,0.9703683,0.45876485,-0.100294285,0.33132815,0.0,0.0,0.0,0.0,0.0,0.0,0.0",5.792520441242341,"[65, 23, 67, 8, 49, 61, 74]","['vnot +> ', 'nop', 'vnot -> ', 'not <', 'v> ', 'v*= ', 'vnot *= ', 'vnot +> ', '<', 'nop', 'v-> ', 'nop', 'nop', '>', 'vnot +> ', 'not <', 'nop', 'v*= ', 'not =', 'vnot +> ', '=', 'not >', '=', '<', 'vnot *= ', 'v+> ', 'v+> ', '=', 'not >', 'v-> ', '=', '<', 'not =', 'not >', 'nop']","['or', 'and', 'or', 'and', 'and', 'and', 'and', 'or', 'or', 'or', 'or', 'or', 'and', 'and', 'and', 'or', 'and', 'or', 'or', 'or', 'or', 'and', 'and', 'or', 'or', 'or', 'or', 'and', 'and', 'or', 'and', 'or', 'and', 'and', 'or']",a.z not ->  b.z + 8260 or a.vx not < b.vx and a.vy >  15079 AND b.x not = f.x + 22905 and b.z not +>  d.z + 10718 or b.vx < f.vx AND c.x ->  f.x + 2814 or c.vx > f.vx and c.vy not +>  e.vy + 14206 AND d.z not = c.z + 69 or d.vx not = f.vx or d.vy not +>  f.vy + 15510 AND e.x = b.x or e.z = d.z and e.vx < c.vx or e.vy = c.vy * 9599 AND f.x +>  e.x + 22967 or f.y +>  a.y + 78081 or f.vx not > g.vx and f.vy ->  d.vy + 12763
1235,"0.25539982,0.0,0.0,0.0,0.0,0.0,1.3646951,-1.610698,-0.44666642,1.1867297,0.0833883,-0.2224124,-0.43920648,0.39958245,1.5656414,-0.80704266,0.26178116,-0.9497568,-0.780799,0.5912353,-0.31556582,-2.3177514,-0.44666642,1.0255796,1.7012192,1.4124072,2.1033652,0.19967873,1.029282,1.2142981,-2.4377851,-0.3181476,1.0486068,0.21373716,-1.450282,-1.2391908,-1.5209842,0.51156425,-2.0041046,-1.3414798,0.28357446,-1.9899977,-0.88805664,-1.5163788,0.9703683,0.45876485,-0.100294285,0.33132815,0.0,-1.9365706,0.5912353,1.6747224,2.1476314,1.4369062,0.0",6.0465270765796895,"[65, 23, 67, 8, 49, 61, 74, 98]","['vnot +> ', 'nop', 'vnot -> ', 'not <', 'v> ', 'v*= ', 'vnot *= ', 'vnot +> ', '<', 'nop', 'v-> ', 'nop', 'nop', '>', 'vnot +> ', 'not <', 'nop', 'v*= ', 'not =', 'vnot +> ', '=', 'not >', '=', '<', 'vnot *= ', 'v+> ', 'v+> ', '=', 'not >', 'v-> ', '=', '<', 'not =', 'not >', 'nop', 'v-> ', 'v-> ', 'vnot +> ', 'nop', 'not <']","['or', 'and', 'or', 'and', 'and', 'and', 'and', 'or', 'or', 'or', 'or', 'or', 'and', 'and', 'and', 'or', 'and', 'or', 'or', 'or', 'or', 'and', 'and', 'or', 'or', 'or', 'or', 'and', 'and', 'or', 'and', 'or', 'and', 'and', 'or', 'or', 'or', 'or', 'or', 'and']",a.z not ->  b.z + 8260 or a.vx not < b.vx and a.vy >  15079 AND b.x not = f.x + 22905 and b.y = h.y * 60483 and b.z not +>  d.z + 10718 or b.vx < f.vx AND c.x ->  f.x + 2814 or c.vx > f.vx and c.vy not +>  e.vy + 14206 AND d.z not = c.z + 69 or d.vx not = f.vx or d.vy not +>  f.vy + 15510 AND e.x = b.x or e.z = d.z and e.vx < c.vx or e.vy = c.vy * 9599 AND f.x +>  e.x + 22967 or f.y +>  a.y + 78081 or f.vx not > g.vx and f.vy ->  d.vy + 12763 AND g.x = e.x and g.y < a.y or g.z not = a.z and g.vx not > c.vx
1236,"-0.6923965,0.0,0.0,0.0,0.0,0.0,-1.097355,1.4369062,0.21391721,0.45158234,0.7593136,-1.1919999,0.0,-0.40365463,0.42730334,2.2114713,-0.12275224,-1.7677557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.470266248604985,"[14, 106]","['not <', 'vnot +> ', 'vnot -> ', 'v*= ', 'vnot *= ', 'v+> ', 'not >', 'not =', '<', 'nop']","['and', 'and', 'or', 'and', 'or', 'or', 'or', 'and', 'and', 'and']",
