Unnamed: 0,pattern,rating,events,actions,conds,pattern_str
1547,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",10,"['player', 'bullet4']","['=', 'vnot>', 'vnot=', 'not<', '=', '<', 'not<', 'not<']","['and', 'and', 'and', 'or', 'or', 'and', 'and', 'and']",a.y not> value and a.vx not= value
1548,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",12,"['player', 'bullet4', 'bullet3']","['=', 'vnot>', 'vnot=', 'not<', '=', '<', 'not<', 'not<', 'vnot>', 'not<', 'vnot>', 'vnot<']","['and', 'and', 'and', 'or', 'or', 'and', 'and', 'and', 'or', 'and', 'or', 'or']",a.y not> value and a.vx not= value and a.vy not< c.vy AND c.x not> 4 or c.vx not> 7 or c.vy not< 4
1549,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",33,"['player', 'bullet4', 'bullet3', 'finish']","['=', 'vnot>', 'vnot=', 'not<', '=', '<', 'not<', 'not<', 'vnot>', 'not<', 'vnot>', 'vnot<', '>', 'not>', 'not<', 'not<']","['and', 'and', 'and', 'or', 'or', 'and', 'and', 'and', 'or', 'and', 'or', 'or', 'or', 'or', 'and', 'or']",a.x = d.x and a.y not> value and a.vx not= value and a.vy not< c.vy AND b.vy not< d.vy AND c.x not> 4 or c.vx not> 7 or c.vy not< 4
1550,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2,['player'],"['vnot<', 'vnot=', 'vnot>', '>']","['or', 'and', 'and', 'and']",a.x not< value or a.y not= value and a.vx not> value
1551,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4,"['player', 'bullet6']","['vnot<', 'vnot=', 'vnot>', '>', 'vnot>', 'not>', '<', 'vnot=']","['or', 'and', 'and', 'and', 'and', 'and', 'and', 'or']",a.x not< value or a.y not= value and a.vx not> value AND b.x not> value and b.vy not= 5
1552,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3,['player'],"['=', '>', '>', 'vnot>']","['and', 'and', 'or', 'or']",a.vy not> value
1553,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",21,"['player', 'finish']","['=', '>', '>', 'vnot>', 'vnot>', 'v<', 'vnot<', '<']","['and', 'and', 'or', 'or', 'or', 'or', 'and', 'and']",a.x = b.x or a.vy not> value AND b.x not> value or b.y < value or b.vx not< value
1554,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2,['player'],"['not>', '>', 'vnot=', 'not<']","['or', 'and', 'or', 'or']",a.vx not= value
1555,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4,"['player', 'bullet5']","['not>', '>', 'vnot=', 'not<', 'vnot>', '=', 'v<', 'vnot=']","['or', 'and', 'or', 'or', 'or', 'or', 'and', 'or']",a.vx not= value AND b.x not> 5 or b.vx < value and b.vy not= 4
1556,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,['player'],"['=', 'v<', '>', 'v<']","['and', 'or', 'or', 'or']",a.y < value or a.vy < value
1557,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",13,"['player', 'bullet2', 'flyer6']","['=', 'v<', '>', 'v<', 'not>', 'vnot<', 'not<', '>', 'not<', 'vnot=', 'v=', 'vnot=']","['and', 'or', 'or', 'or', 'or', 'and', 'or', 'and', 'or', 'and', 'and', 'and']",a.y < value or a.vy < value AND b.y not< value AND c.y not= value and c.vx = 7 and c.vy not= 6
1558,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",28,"['player', 'bullet2', 'flyer6', 'finish']","['=', 'v<', '>', 'v<', 'not>', 'vnot<', 'not<', '>', 'not<', 'vnot=', 'v=', 'vnot=', 'v>', 'vnot<', 'not>', 'not=']","['and', 'or', 'or', 'or', 'or', 'and', 'or', 'and', 'or', 'and', 'and', 'and', 'and', 'and', 'and', 'or']",a.x = d.x and a.y < value or a.vx > d.vx or a.vy < value AND b.y not< value AND c.y not= value and c.vx = 7 and c.vy not= 6 AND d.x > value and d.y not< value
1559,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4,['player'],"['=', 'not=', 'vnot>', 'vnot<']","['and', 'or', 'and', 'and']",a.vx not> value and a.vy not< value
1560,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",6,"['player', 'flyer2']","['=', 'not=', 'vnot>', 'vnot<', 'vnot=', 'not>', '>', 'vnot<']","['and', 'or', 'and', 'and', 'and', 'and', 'and', 'or']",a.vx not> value and a.vy not< value AND b.x not= 1 and b.vy not< value
1561,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",34,"['player', 'flyer2', 'finish']","['=', 'not=', 'vnot>', 'vnot<', 'vnot=', 'not>', '>', 'vnot<', 'vnot=', '>', 'v=', 'not>']","['and', 'or', 'and', 'and', 'and', 'and', 'and', 'or', 'and', 'and', 'and', 'or']",a.x = c.x or a.vx not> value and a.vy not< value AND b.x not= 1 and b.vy not< value AND c.x not= value and c.vx = value
1562,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",17,"['player', 'finish']","['=', 'vnot=', 'not>', 'not<', '>', '=', 'not<', 'v<']","['and', 'or', 'or', 'or', 'and', 'and', 'or', 'or']",a.x = b.x and a.y not= value AND b.vy < value
1563,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2,['player'],"['=', 'not=', 'vnot>', 'v=']","['and', 'and', 'and', 'and']",a.vx not> value and a.vy = value
1564,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",17,"['player', 'finish']","['=', 'not=', 'vnot>', 'v=', 'v<', '=', 'vnot<', 'not=']","['and', 'and', 'and', 'and', 'and', 'and', 'or', 'or']",a.x = b.x and a.vx not> value and a.vy = value AND b.x < value and b.vx not< value
1565,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2,['player'],"['v>', 'not=', 'vnot>', 'vnot=']","['and', 'and', 'and', 'or']",a.x > value and a.vx not> value and a.vy not= value
1566,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",12,"['player', 'bullet5', 'bullet2']","['v>', 'not=', 'vnot>', 'vnot=', 'vnot=', 'vnot<', 'not=', 'v>', 'v=', '>', '<', 'v>']","['and', 'and', 'and', 'or', 'or', 'and', 'or', 'and', 'and', 'or', 'or', 'or']",a.x > value and a.vx not> value and a.vy not= value AND b.x not= value or b.y not< 5 or b.vy > value AND c.x = value or c.vy > value
1567,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",13,"['player', 'bullet5', 'bullet2', 'bullet3']","['v>', 'not=', 'vnot>', 'vnot=', 'vnot=', 'vnot<', 'not=', 'v>', 'v=', '>', '<', 'v>', 'vnot=', 'v<', '<', '<']","['and', 'and', 'and', 'or', 'or', 'and', 'or', 'and', 'and', 'or', 'or', 'or', 'and', 'or', 'or', 'or']",a.x > value and a.vx not> value and a.vy not= value AND b.x not= value or b.y not< 5 or b.vy > value AND c.x = value and c.y > d.y or c.vy > value AND d.x not= value and d.y < 0
1568,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",15,"['player', 'bullet5', 'bullet2', 'bullet3', 'player']","['v>', 'not=', 'vnot>', 'vnot=', 'vnot=', 'vnot<', 'not=', 'v>', 'v=', '>', '<', 'v>', 'vnot=', 'v<', '<', '<', 'v>', 'vnot=', 'not>', 'not=']","['and', 'and', 'and', 'or', 'or', 'and', 'or', 'and', 'and', 'or', 'or', 'or', 'and', 'or', 'or', 'or', 'or', 'or', 'and', 'or']",a.x > value and a.vx not> value and a.vy not= value AND b.x not= value or b.y not< 5 or b.vy > value AND c.x = value and c.y > d.y or c.vy > value AND d.x not= value and d.y < 0 AND e.x > value or e.y not= value
1569,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",20,"['player', 'explosion6', 'finish']","['=', 'vnot<', 'vnot=', 'not=', 'vnot>', 'vnot=', 'vnot=', 'vnot=', 'not<', 'v<', '=', 'v>']","['and', 'and', 'and', 'or', 'and', 'and', 'and', 'and', 'and', 'and', 'or', 'and']",a.x = c.x and a.y not< value and a.vx not= value AND b.x not> 6 and b.y not= value and b.vx not= value and b.vy not= 2 AND c.y < value or c.vy > value
1570,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2,['player'],"['=', 'vnot<', 'vnot<', 'vnot=']","['and', 'and', 'or', 'and']",a.y not< value and a.vx not< value or a.vy not= value
1571,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",5,"['player', 'bullet4']","['=', 'vnot<', 'vnot<', 'vnot=', 'not<', '>', 'not<', 'not=']","['and', 'and', 'or', 'and', 'or', 'or', 'and', 'or']",a.y not< value and a.vx not< value or a.vy not= value
1572,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",17,"['player', 'bullet4', 'explosion6']","['=', 'vnot<', 'vnot<', 'vnot=', 'not<', '>', 'not<', 'not=', '>', '<', '>', 'v<']","['and', 'and', 'or', 'and', 'or', 'or', 'and', 'or', 'and', 'and', 'and', 'and']",a.y not< value and a.vx not< value or a.vy not= value AND b.vy not= c.vy AND c.vy < 3
1573,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",48,"['player', 'bullet4', 'explosion6', 'finish']","['=', 'vnot<', 'vnot<', 'vnot=', 'not<', '>', 'not<', 'not=', '>', '<', '>', 'v<', '=', '<', 'not<', 'vnot=']","['and', 'and', 'or', 'and', 'or', 'or', 'and', 'or', 'and', 'and', 'and', 'and', 'or', 'or', 'and', 'and']",a.x = d.x and a.y not< value and a.vx not< value or a.vy not= value AND b.vy not= c.vy AND c.vy < 3 AND d.vy not= value
1574,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3,['player'],"['=', 'v<', 'vnot<', '=']","['and', 'or', 'and', 'and']",a.y < value or a.vx not< value
1575,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",15,"['player', 'finish']","['=', 'v<', 'vnot<', '=', '<', 'v>', '=', '=']","['and', 'or', 'and', 'and', 'or', 'and', 'or', 'and']",a.x = b.x and a.y < value or a.vx not< value AND b.y > value
1576,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,"['flyer3', 'explosion1']","['nop', 'not v<', 'nop', '>', 'not not<', 'nop', 'not not>', 'not not=']","['or', 'and', 'or', 'and', 'or', 'and', 'or', 'and']",nan
1577,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2,"['flyer3', 'explosion1', 'bullet2']","['nop', 'not v<', 'nop', '>', 'not not<', 'nop', 'not not>', 'not not=', 'nop', '=', 'not >', 'nop']","['or', 'and', 'or', 'and', 'or', 'and', 'or', 'and', 'and', 'and', 'and', 'and']",b.x not not< c.x
1578,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2,"['flyer3', 'explosion1', 'bullet2', 'bullet3', 'bullet6', 'explosion7']","['nop', 'not v<', 'nop', '>', 'not not<', 'nop', 'not not>', 'not not=', 'nop', '=', 'not >', 'nop', 'nop', 'not <', 'not vnot>', 'nop', 'not not=', 'v=', 'vnot<', 'not not>', 'not =', 'not<', 'nop', 'not =']","['or', 'and', 'or', 'and', 'or', 'and', 'or', 'and', 'and', 'and', 'and', 'and', 'or', 'and', 'and', 'or', 'or', 'or', 'or', 'and', 'or', 'and', 'and', 'or']",a.vy > d.vy AND b.x not not< c.x AND c.vx not > d.vx AND d.y not < c.y AND e.y = nop or e.vx not< nop or e.vy not not> f.vy
1579,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2,['player'],"['v=', 'vnot=', '<', 'not>']","['or', 'and', 'and', 'and']",a.x = value or a.y not= value
1580,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",5,"['player', 'bullet2']","['v=', 'vnot=', '<', 'not>', 'v>', 'not>', 'not<', '>']","['or', 'and', 'and', 'and', 'and', 'and', 'and', 'and']",a.x = value or a.y not= value AND b.x > value
1581,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,['player'],"['not=', 'v<', 'not=', 'vnot<']","['and', 'or', 'or', 'and']",a.y < value or a.vy not< value
1582,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4,"['player', 'bullet5']","['not=', 'v<', 'not=', 'vnot<', 'not=', 'not<', 'not=', 'vnot=']","['and', 'or', 'or', 'and', 'or', 'and', 'or', 'and']",a.y < value or a.vy not< value AND b.vy not= value
1583,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",8,"['player', 'bullet5', 'player']","['not=', 'v<', 'not=', 'vnot<', 'not=', 'not<', 'not=', 'vnot=', '>', 'vnot>', 'vnot>', 'vnot>']","['and', 'or', 'or', 'and', 'or', 'and', 'or', 'and', 'or', 'and', 'and', 'or']",a.y < value or a.vy not< value AND b.y not< c.y and b.vx not= a.vx or b.vy not= value AND c.y not> 0 and c.vx not> 6 and c.vy not> value
1584,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",19,"['player', 'finish']","['=', 'v>', '<', '>', 'v>', '<', 'v>', '=']","['and', 'and', 'and', 'and', 'and', 'or', 'or', 'or']",a.x = b.x and a.y > value AND b.x > value or b.vx > value
1585,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",8,"['player', 'bullet6']","['=', '<', 'vnot<', 'not=', 'v<', '=', '>', 'not<']","['or', 'or', 'or', 'or', 'and', 'and', 'or', 'or']",a.vx not< value AND b.x < 7
